NAME,PDB ID,Resolution,#TLS groups,ANISOU,Chain IDs
R0,4PCP,,0,N,"A,G"
R0,4PCP,,0,N,"A,G"
R1,4XAF,,0,N,"A,G"
R1,4XAF,,0,N,"A,G"
R2,4XD5,,0,N,"A,G"
R2,4XD5,,0,N,"A,G"
R6,4XAG,,0,N,"A,G"
R6,4XAG,,0,N,"A,G"
R8,4XAY,,0,N,"A,G"
R8,4XAY,,0,N,"A,G"
R18,4XAZ,,0,N,"A,G"
R18,4XAZ,,0,N,"A,G"
R22,4PCN,,0,N,"A,B"
R22,4PCN,,0,N,"A,B"
Rev6,4PBE,,0,N,"A,G"
Rev6,4PBE,,0,N,"A,G"
Rev12,4PBF,,0,N,"A,B"
Rev12,4PBF,,0,N,"A,B"
E2a,4XD6,,0,N,"A,G"
E2a,4XD6,,0,N,"A,G"
E3,4XD3,,0,N,"A,G"
E3,4XD3,,0,N,"A,G"
S1,5W6B,,0,Y,"A,G"
S1,5W6B,,0,Y,"A,G"
S2,5WCQ,,0,Y,"A,G"
S2,5WCQ,,0,Y,"A,G"
S3,5WCW,,0,Y,"A,G"
S3,5WCW,,0,Y,"A,G"
S5,5WIZ,,0,Y,"A,G"
S5,5WIZ,,0,Y,"A,G"
S6,5WCP,,0,Y,"A,G"
S6,5WCP,,0,Y,"A,G"
S7,5WMS,,0,Y,"A,G,Q,S"
S7,5WMS,,0,Y,"A,G,Q,S"
S7,5WMS,,0,Y,"A,G,Q,S"
S7,5WMS,,0,Y,"A,G,Q,S"
S8,6AML,,0,Y,"A,G"
S8,6AML,,0,Y,"A,G"
S5+HLN,6B2F,,0,Y,"A,G"
S5+HLN,6B2F,,0,Y,"A,G"
S5+254R,5WJ0,,0,Y,"A,G"
S5+254R,5WJ0,,0,Y,"A,G"
R18+254S,6BH7,,0,Y,"A,G"
R18+254S,6BH7,,0,Y,"A,G"
S5ΔL7,6BHL,,0,Y,"A,G"
S5ΔL7,6BHL,,0,Y,"A,G"
R18ΔL7,6BHK,,0,Y,"A,B,E,G"
R18ΔL7,6BHK,,0,Y,"A,B,E,G"
R18ΔL7,6BHK,,0,Y,"A,B,E,G"
R18ΔL7,6BHK,,0,Y,"A,B,E,G"
PTE(WT)ΔL7,5WCR,,0,Y,"A,G"
PTE(WT)ΔL7,5WCR,,0,Y,"A,G"
